title,price,mileage,dealer_name
2016 Lexus GS 350 Base,"$28,591","44,036 mi.",North Park Toyota of San Antonio
2019 Lexus GS 350 F Sport,"$37,328","53,799 mi.",Peters Chevrolet
2014 Lexus GS 350 Base,"$23,998","53,241 mi.",CarMax Madison - Offering Express Pickup and Home Delivery
2013 Lexus GS 350 Base,"$16,995","128,228 mi.",A to Z Autosports LLC
2013 Lexus GS 350 Base,"$18,995","113,440 mi.",Goben Cars East
2015 Lexus GS 350 Base,"$21,777","61,175 mi.",Auffenberg Auto Mall
2010 Lexus GS 350 Base,"$15,850","87,789 mi.",USA CAR EXPO
2006 Lexus GS 300 ,"$5,000","177,850 mi.",Elgin Kia
2007 Lexus GS 350 Base (A6),"$9,950","123,013 mi.",Victor Auto Group
2019 Lexus GS 350 Base,"$42,988","7,440 mi.",McGrath Lexus of Westmont
2015 Lexus GS 350 Base,"$24,425","59,897 mi.",Adam Auto Group
2014 Lexus GS 350 Base,"$19,988","116,667 mi.",Ray Skillman Northeast Mazda
2013 Lexus GS 350 Base,"$18,983","101,220 mi.",Lexus of Cool Springs
2020 Lexus GS 350 F Sport,"$40,977","28,649 mi.",Performance Lexus Rivercenter
2016 Lexus GS F Base,"$53,959","36,441 mi.",Birmingham Broker
2013 Lexus GS 350 Base,"$14,923","146,551 mi.",Perrysburg Automall
2017 Lexus GS 200t F Sport,"$30,968","32,398 mi.",Encore Dodge Chrysler Jeep RAM
2015 Lexus GS 350 Base,"$26,987","73,142 mi.",Palmer's Toyota Superstore
2017 Lexus GS 350 Base,"$31,950","53,616 mi.",Sports Center Imports
2013 Lexus GS 350 Base,"$15,998","140,852 mi.",Germain Lexus of Dublin
2013 Lexus GS 350 Base,"$13,500","169,000 mi.",
2006 Lexus GS 300 ,"$15,871","146,286 mi.",Columbus Luxury Cars
2017 Lexus GS 350 Base,"$28,528","78,493 mi.",Ricart Used Car Factory
2018 Lexus GS 350 Base,"$34,950","64,542 mi.",Frontier Motors
2013 Lexus GS 350 Base,"$16,328","143,522 mi.","Nalley Lexus, Roswell"
2016 Lexus GS 350 Base,"$23,990","96,817 mi.",Butler Lexus of South Atlanta
2013 Lexus GS 350 Base,"$18,500","92,706 mi.",Atlanta Best Used Cars
2007 Lexus GS 350 Base,"$8,975","144,524 mi.",Klassic Cars
2014 Lexus GS 350 Base,"$21,971","67,417 mi.",Rohrich Lexus
2016 Lexus GS 200t ,"$21,998","101,816 mi.",CarMax Augusta - Offering Express Pickup and Home Delivery
2013 Lexus GS 350 Base,"$15,995","147,436 mi.",Prestige Motorworks LLC
2008 Lexus GS 350 ,"$10,698","152,466 mi.",Smart Chevrolet
2014 Lexus GS 350 Base,"$13,495","152,169 mi.",Prime Dealz Auto
2013 Lexus GS 350 Base,"$23,863","70,638 mi.",Auto First LLC
2015 Lexus GS 350 Crafted Line,"$24,495","91,649 mi.",Zimmerman's Automotive
2015 Lexus GS 350 Crafted Line,"$18,998","93,727 mi.",Empire Motors Inc
2020 Lexus GS 350 F SPORT Black Line,"$39,900","29,524 mi.",Faulkner Buick GMC Harrisburg
2018 Lexus GS 350 Base,"$29,000","70,209 mi.",Exclusive Motor Cars
2013 Lexus GS 350 Base,"$14,199","136,000 mi.",
2017 Lexus GS 350 F Sport,"$28,995","79,386 mi.",PAAUTOSALES.COM
2020 Lexus GS 350 F Sport,"$39,770","49,560 mi.",Davis Honda
2018 Lexus GS 350 F Sport,"$25,790","55,690 mi.",Certified Luxury Motors of Valley Stream
2018 Lexus GS 350 F Sport,"$29,897","84,109 mi.",Coggin Acura
2007 Lexus GS 350 ,"$14,950","60,331 mi.",Victory Auto Group
2015 Lexus GS 350 ,"$20,575","88,725 mi.",Lexus of Palm Beach
2013 Lexus GS 350 Base,"$17,999","83,966 mi.",The Taverna Collection
2003 Lexus GS 300 Base,"$14,900","63,082 mi.",Dream Auto Collection Inc
2015 Lexus GS 350 Crafted Line,"$27,998","40,243 mi.",CarMax Miami (International Mall) - Offering Express Pickup and Home Delivery
2018 Lexus GS 350 Base,"$25,798","64,978 mi.",HGreg.com Doral
2019 Lexus GS 350 Base,"$35,998","46,050 mi.",Lexus of North Miami
2020 Lexus GS 350 F Sport,"$38,473","20,978 mi.",Braman Hyundai
2017 Lexus GS 350 GS 350,"$22,299","116,960 mi.",Autocenter Sales & Service
2013 Lexus GS 350 Base,"$21,900","93,679 mi.",Auto X-Change
2013 Lexus GS 350 Base,"$24,995","58,710 mi.",AUTOSOURCE
2015 Lexus GS 350 Base,"$29,995","28,993 mi.",Excellent Auto Center
2015 Lexus GS 350 Base,"$28,995","48,734 mi.",Excellent Auto Center
2013 Lexus GS 350 Base,"$20,795","78,617 mi.",Auto Passion Team
2015 Lexus GS 350 Crafted Line,Not Priced,"60,881 mi.",Fairly Reliable Bob's
2006 Lexus GS 300 Base (A6),"$6,999","174,105 mi.",One Stop Motors LLC
2014 Lexus GS 350 Base,"$17,490","142,071 mi.",Groove Toyota
2015 Lexus GS 350 ,"$25,992","53,902 mi.",Courtesy Acura
2006 Lexus GS 300 ,"$8,991","150,485 mi.",Stevinson Toyota East
2015 Lexus GS 350 Base,"$22,990","90,124 mi.",Colorado Auto Finders
2014 Lexus GS 350 ,"$24,776","41,872 mi.",Lexus of Colorado Springs
2013 Lexus GS 350 Base,"$17,777","111,745 mi.",Dolan Toyota
2015 Lexus GS 350 ,"$22,130","89,997 mi.",Dolan Lexus
2013 Lexus GS 350 Base,"$20,998","77,471 mi.",CarMax Reno - Offering Express Pickup and Home Delivery
2014 Lexus GS 350 Base,"$18,990","109,027 mi.",AutoNation Ford Scottsdale
2013 Lexus GS 350 Base,"$26,395","45,352 mi.",Arrowhead Lexus
2015 Lexus GS 350 Base,"$24,995","55,755 mi.",Liberty Buick
2016 Lexus GS 350 Base,"$27,977","62,383 mi.",Roseville Toyota
2015 Lexus GS 350 Crafted Line,"$23,989","65,147 mi.",A-1 Auto Wholesale
2019 Lexus GS 350 F Sport,"$37,321","42,798 mi.",Lexus of Sacramento
2015 Lexus GS 350 Base,Not Priced,"101,594 mi.",Mccurley Mazda
2013 Lexus GS 350 Base,"$16,950","128,307 mi.",Acura of Modesto
2001 Lexus GS 430 Base (A5),"$5,995","171,271 mi.",Modesto Auto Exchange
2013 Lexus GS 350 Base,"$16,999","93,503 mi.",Fontana Motors Direct
2020 Lexus GS 350 F Sport,"$39,999","19,139 mi.",Crown Lexus
2013 Lexus GS 350 Base,"$17,899","117,437 mi.",California Motor Trade 3
2017 Lexus GS 350 ,"$24,998","90,368 mi.",CarMax San Gabriel Valley/Duarte - Offering Express Pickup and Home Delivery
2010 Lexus GS 350 Base,"$8,400","124,000 mi.",
2015 Lexus GS 350 Base,"$19,900","104,532 mi.",Maserati Puente Hills
2020 Lexus GS 350 F SPORT Black Line,"$35,777","48,980 mi.",BMW of Fairfield
2013 Lexus GS 350 Base,"$17,290","109,000 mi.",Dapper Car Sales
2006 Lexus GS 300 ,"$9,448","233,768 mi.",Temecula Valley Lexus
2013 Lexus GS 350 Base,"$18,500","108,600 mi.",
2013 Lexus GS 350 Base,"$21,998","92,820 mi.",CarMax Fremont - Offering Express Pickup and Home Delivery
2016 Lexus GS 350 F Sport,"$26,747","87,312 mi.",Fremont Toyota
2013 Lexus GS 350 Base,"$22,898","67,195 mi.",Lexus Santa Monica
2017 Lexus GS 350 F Sport,"$22,990","97,304 mi.",CAR LUX
2007 Lexus GS 350 ,"$10,000","114,750 mi.",Harbor Chevrolet
2019 Lexus GS 350 F Sport,"$40,988","53,328 mi.",Lexus of Stevens Creek
2020 Lexus GS 350 F Sport,"$43,988","20,460 mi.",Lexus of Stevens Creek
2016 Lexus GS 200t 200T,"$25,500","56,417 mi.",Prestige Motors
2011 Lexus GS 350 Base,"$13,999","133,837 mi.",Stevens Creek BMW
2007 Lexus GS 450h Base,"$12,900","120,500 mi.",
2014 Lexus GS 350 Base,"$18,994","80,085 mi.",BMW of Carlsbad
2013 Lexus GS 350 Base,"$19,500","89,653 mi.",Lexus Monterey Peninsula
2016 Lexus GS 350 Base,"$27,997","56,940 mi.",Victory Toyota Seaside
2018 Lexus GS 350 F Sport,"$32,950","60,586 mi.",Auto City
2015 Lexus GS 350 Base,"$18,930","124,616 mi.",Kearny Mesa Chrysler Dodge Jeep RAM
2007 Lexus GS 350 Base,"$6,990","231,493 mi.",Cars To Go
2013 Lexus GS 350 Base,"$16,950","117,688 mi.",Lexus of Portland
2007 Lexus GS 350 ,"$6,950","199,057 mi.",D'Angelo Auto Sales
2014 Lexus GS 350 Base,"$18,397","111,255 mi.",Brown Automotive Group
2017 Lexus GS 350 F Sport,"$36,999","20,395 mi.",BMW Seattle
2017 Lexus GS 350 F Sport,"$29,991","88,230 mi.",Daytona Motor Company
2015 Lexus GS 350 Crafted Line,"$26,794","50,595 mi.",Kia of Everett
2017 Lexus GS 350 F Sport,"$27,500","59,000 mi.",
2013 Lexus GS 350 Base,"$21,195","92,045 mi.",DriveTime of Lubbock
2014 Lexus GS 350 Base,"$19,414","111,311 mi.",Eddy's Toyota of Wichita
2015 Lexus GS 350 ,Not Priced,"168,953 mi.",Lexus of Wichita
2013 Lexus GS 350 Base,"$18,998","106,628 mi.",Car Store USA
2014 Lexus GS 350 Base,"$20,640","90,658 mi.",McMullen Ford
2015 Lexus GS 350 ,"$23,703","53,155 mi.",Bob Howard Chrysler Dodge Jeep RAM
2013 Lexus GS 350 Base,"$18,645","118,031 mi.",Baron BMW MINI
2013 Lexus GS 350 Base,"$22,900","22,902 mi.",Sam's Riverside Inc.
2008 Lexus GS 350 Base (A6),"$10,999","133,682 mi.",Auto Center Bargain Lot
2007 Lexus GS 350 ,"$8,995","180,686 mi.",Audi Plano
2017 Lexus GS 350 ,"$24,991","83,311 mi.",AutoNation USA Plano
2014 Lexus GS 350 Base,"$18,779","107,610 mi.",EchoPark Automotive Dallas
2020 Lexus GS 350 F Sport,"$46,998","13,870 mi.",Sewell Lexus of Dallas
2013 Lexus GS 350 Base,"$26,925",,Orr Chevrolet Cadillac of Fort Smith
2014 Lexus GS 350 Base,"$21,999","50,090 mi.",Skyline Motorsports LLC
2007 Lexus GS 350 ,"$7,681","180,827 mi.",Mills Chevrolet
2013 Lexus GS 350 Base,"$22,800","67,000 mi.",
2006 Lexus GS 300 ,Not Priced,"245,150 mi.",Jeff Haas Mazda
2007 Lexus GS 350 Base,"$15,750","65,409 mi.",USA CAR EXPO
2015 Lexus GS 350 Base (A6),"$18,850","75,000 mi.",SW Auto LLC
2014 Lexus GS 350 Base,"$19,377","82,360 mi.",Destination Auto
2018 Lexus GS 350 ,"$25,999","48,338 mi.",America's Xtreme Auto
2013 Lexus GS 450h Base,Not Priced,"85,978 mi.",Auto Boutique Texas
2007 Lexus GS 350 Base,"$10,500","141,000 mi.",
2013 Lexus GS 450h Base,"$12,000","187,000 mi.",
2000 Lexus GS 300 Base,"$4,995","245,082 mi.",American Direct Auto
2007 Lexus GS 350 Base,"$7,000","136,250 mi.",
2013 Lexus GS 350 Base,"$21,500","100,324 mi.",Rod Hatfield Used Car Factory
2013 Lexus GS 350 Base,"$19,900","103,154 mi.",Sheffield Motors Inc
2013 Lexus GS 350 Base,"$21,991","99,467 mi.",Lexus of Mobile
2016 Lexus GS 350 Base,"$22,899","98,601 mi.",TradeUp Chattanooga
2014 Lexus GS 350 Base,"$15,998","179,573 mi.",Byers Outlet
2006 Lexus GS 300 Base,"$6,499","194,516 mi.",Multi Group Automotive
2004 Lexus GS 300 ,"$4,990","262,273 mi.",Hollingsworth Auto Sales of Raleigh
2014 Lexus GS 350 Base,"$20,998","92,622 mi.",Phoenix Motors
2017 Lexus GS 350 Base,"$35,169","39,062 mi.",Lexus of Lehigh Valley
2014 Lexus GS 350 Base,"$22,999","67,395 mi.",CarVision of Trooper
2017 Lexus GS 200t 200T,Not Priced,"53,642 mi.",Daytona Toyota
2004 Lexus GS 430 Base,"$6,500","248,000 mi.",
2013 Lexus GS 350 Base,"$15,471","122,436 mi.",Mercedes-Benz of Paramus
2017 Lexus GS 350 F Sport,"$28,500","78,262 mi.",Eastchester Chrysler Jeep Dodge RAM
2008 Lexus GS 350 ,"$7,987","171,152 mi.",Shelby Motor Cars
2018 Lexus GS 350 F Sport,"$28,709","71,497 mi.",Lexus of Palm Beach
2019 Lexus GS 350 F Sport,"$35,588","37,757 mi.",Al Hendrickson Toyota
2003 Lexus GS 300 Base,"$7,998","140,277 mi.",Uzdcarz Inc.
2017 Lexus GS 350 Base,"$34,977","24,909 mi.",Imperial Chevrolet
2016 Lexus GS 350 F Sport,"$24,899","66,467 mi.",Florida Fine Cars Miami
2015 Lexus GS 350 Base,"$20,325","151,066 mi.",Used Car Superstore of Lisle
2013 Lexus GS 350 Base,"$22,998","60,950 mi.",CarMax Kenosha - Offering Express Pickup and Home Delivery
2016 Lexus GS 350 Base,"$29,400","36,473 mi.",McGrath BMW of Elmhurst
2018 Lexus GS 350 ,"$36,999",0 mi.,Pride Hyundai
2013 Lexus GS 350 Base,"$15,999","120,131 mi.",
2014 Lexus GS 350 Base,Not Priced,"74,962 mi.",Ray Skillman Ford
2013 Lexus GS 350 Base,"$18,391","110,695 mi.",All Star Nissan
2007 Lexus GS 350 ,Not Priced,"169,484 mi.",Sam Pierce Chevrolet
2014 Lexus GS 350 Base,"$15,999","132,215 mi.",Audi Nashville
2014 Lexus GS 350 Base,"$18,990","87,143 mi.",Car Hunters LLC
2007 Lexus GS 350 ,"$11,995","165,200 mi.",Dixie Motors Inc
2019 Lexus GS 350 F Sport,"$38,998","32,137 mi.",CarMax Huntsville - Offering Express Pickup and Home Delivery
2014 Lexus GS 350 Base,"$18,987","113,952 mi.",Landers McLarty Subaru
2008 Lexus GS 350 ,"$8,994","98,701 mi.",NW Automotive Group
2005 Lexus GS 300 Base,"$7,200","145,000 mi.",
2011 Lexus GS 350 Base,"$14,495","101,670 mi.",Beck's Auto Group
2017 Lexus GS F Base,"$49,999","63,679 mi.",Birmingham Luxury Motors
2020 Lexus GS 350 F Sport,"$37,998","35,133 mi.",Lexus of Birmingham
2014 Lexus GS 350 Base,"$19,999","93,319 mi.",Lindsay Acura
2015 Lexus GS 350 ,Not Priced,"119,642 mi.",Viles Automotive Group
2015 Lexus GS 350 ,Not Priced,"72,116 mi.",Viles Automotive Group
2008 Lexus GS 350 ,"$4,995","240,656 mi.",Auto Locators
2017 Lexus GS 350 F Sport,"$25,887","100,039 mi.",Nalley Lexus Galleria
2016 Lexus GS 350 F Sport,"$26,500","72,017 mi.",Atlanta Best Used Cars
2000 Lexus GS 400 ,Not Priced,"234,545 mi.",Hennessy Lexus Gwinnett
2009 Lexus GS 350 ,"$10,941","130,095 mi.",BMW of Gwinnett Place
2013 Lexus GS 350 Base,Not Priced,0 mi.,Pars Car Sales
2014 Lexus GS 350 Base,Not Priced,0 mi.,Pars Car Sales
2017 Lexus GS F Base,Not Priced,"34,605 mi.",Used Imports Auto
2016 Lexus GS 350 Base,Not Priced,"137,497 mi.",Lake Norman Chrysler Dodge Jeep Ram
2013 Lexus GS 350 Base,"$13,995","12,488 mi.",East Coast Auto Source
2016 Lexus GS 350 Base,"$20,500","27,638 mi.",D'NX Motors
2016 Lexus GS 200t 200T NAV/SUNROOF/BLIND SPOT/SMART KEY/ALL RECORDS,"$21,988","99,441 mi.",Johnson Lexus of Durham
2013 Lexus GS 350 Base,"$10,995","188,380 mi.",Sterling Motorsport
2007 Lexus GS 350 ,"$11,452","143,685 mi.",AutoNation USA Charleston
2013 Lexus GS 350 Base,"$19,992","89,350 mi.",Fitzgerald Auto Mall Wheaton
2015 Lexus GS 350 Crafted Line,"$16,690","133,455 mi.",Fitzgerald Auto Mall Wheaton
2017 Lexus GS 350 ,"$29,998","60,408 mi.",CarMax Ellicott City - Offering Express Pickup and Home Delivery
2017 Lexus GS 200t ,"$25,998","70,126 mi.",CarMax Ellicott City - Offering Express Pickup and Home Delivery
2014 Lexus GS 350 Base,"$19,490","92,516 mi.",Easterns Automotive Group of Hyattsville- Curbside and Home Delivery Available
2018 Lexus GS 350 Base,"$34,029","22,473 mi.",Passport Nissan - MD
2015 Lexus GS 350 350,"$17,895","98,950 mi.",National Auto of Waldorf
2016 Lexus GS 350 Base,"$21,995","141,264 mi.",Upper Marlboro Ford
2015 Lexus GS 350 Base,"$24,850","52,127 mi.",
2013 Lexus GS 350 Base,"$17,997","90,756 mi.",AutoNation Ford Brooksville
2017 Lexus GS 350 Base,"$27,998","84,224 mi.",Jones Preowned Superstore
2016 Lexus GS 350 ,"$23,995","147,950 mi.",East Carolina Auto Exchange
2015 Lexus GS 350 Base,Not Priced,"102,081 mi.",Lakeland Chrysler Dodge Jeep RAM
2015 Lexus GS 350 ,"$17,995","97,921 mi.",Mint Auto Sales
2007 Lexus GS 350 ,Not Priced,"201,054 mi.",Venice Honda
2017 Lexus GS 350 ,"$29,993","90,563 mi.",Apollo Auto Sales
2016 Lexus GS 350 ,"$20,785","143,606 mi.",A&G Auto Sales
2016 Lexus GS 350 Base,Not Priced,"33,992 mi.",Autodirect Cars & Corvettes
2006 Lexus GS 300 ,Not Priced,"123,571 mi.",Honda Bridgewater
2015 Lexus GS 350 ,"$18,900","108,252 mi.",East Coast Auto Group of Linden
2010 Lexus GS 450h ,"$8,995","158,052 mi.",Brick City Motors
2013 Lexus GS 350 Base,"$15,995","108,452 mi.",City Auto Sales Corp
2014 Lexus GS 350 Base,"$18,995","71,302 mi.",Worlds Best Auto Inc.
2018 Lexus GS 350 Base,"$25,960","42,540 mi.",Victory Mitsubishi
2013 Lexus GS 350 Base,"$14,495","87,352 mi.",AmeriCarna Auto Sales
1998 Lexus GS 400 Base,"$12,000","87,700 mi.",
2014 Lexus GS 350 Base,"$17,495","124,643 mi.",Audi Great Neck
2016 Lexus GS 350 F Sport,"$25,850","74,054 mi.",Top Speed Motors LLC
2017 Lexus GS 350 Base,"$27,950","37,655 mi.",Top Speed Motors LLC
2019 Lexus GS 350 Base,"$35,991","45,553 mi.",Arrigo Chrysler Dodge Jeep Ram FIAT of Ft. Pierce
2020 Lexus GS 350 Base,"$39,989","39,762 mi.",Hoffman Lexus
2016 Lexus GS 350 Base,"$29,997","47,228 mi.",Schumacher Buick GMC Of North Palm Beach
2007 Lexus GS 350 Base,"$9,856","249,149 mi.",Supra Auto Sales LLC
2020 Lexus GS 350 F Sport,"$40,250","33,648 mi.",Vera Cadillac
2013 Lexus GS 350 Base,"$16,450","106,940 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi
2005 Lexus GS 300 ,"$3,990","263,371 mi.",Ford of Kendall
2015 Lexus GS 350 Base,Not Priced,"120,259 mi.",Braman Motors Miami
2017 Lexus GS 350 GS 350 F Sport,"$35,779","23,488 mi.",Lexus of Watertown
